# M1939-0 Flight Profile 5mph (Up to date)
# 990 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (86.9 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.238,NaN
0.02,-3.585e-4,-0.072,NaN
0.03,4.737e-4,0.095,NaN
0.04,0.003,0.356,NaN
0.05,0.008,0.784,NaN
0.06,0.019,1.378,NaN
0.07,0.037,2.14,NaN
0.08,0.063,3.068,NaN
# Event LIFTOFF occurred at t=0.09 seconds
0.09,0.099,4.162,NaN
0.1,0.147,5.424,NaN
0.11,0.208,6.853,NaN
0.12,0.285,8.448,NaN
0.13,0.378,10.211,NaN
0.14,0.49,12.112,NaN
0.15,0.62,14.031,NaN
0.16,0.77,15.956,NaN
0.17,0.94,17.887,NaN
0.18,1.128,19.824,NaN
0.19,1.336,21.767,NaN
0.2,1.564,23.715,NaN
0.21,1.81,25.669,NaN
0.22,2.077,27.629,NaN
0.23,2.363,29.595,NaN
0.24,2.669,31.567,NaN
0.25,2.994,33.544,NaN
0.26,3.34,35.528,NaN
0.27,3.705,37.517,NaN
0.28,4.09,39.512,NaN
0.29,4.495,41.512,NaN
0.3,4.92,43.519,NaN
0.31,5.366,45.531,NaN
0.32,5.831,47.549,NaN
0.33,6.317,49.573,NaN
0.34,6.823,51.603,NaN
0.35,7.349,53.639,NaN
0.36,7.895,55.68,NaN
0.37,8.462,57.727,NaN
0.38,9.05,59.78,NaN
0.39,9.658,61.839,NaN
0.4,10.287,63.904,NaN
0.41,10.936,65.974,NaN
0.42,11.606,68.049,NaN
0.43,12.297,70.127,NaN
0.44,13.009,72.21,NaN
0.45,13.741,74.297,NaN
0.46,14.495,76.387,NaN
0.47,15.269,78.482,NaN
0.48,16.064,80.581,NaN
0.49,16.881,82.684,NaN
# Event LAUNCHROD occurred at t=0.5 seconds
0.5,17.718,84.791,NaN
0.515,19.014,87.958,2.379
0.538,21.046,92.726,2.44
0.571,24.297,99.916,2.522
0.621,29.561,110.65,2.616
0.671,35.365,121.485,2.697
0.721,41.712,132.415,2.801
0.771,48.608,143.431,2.925
0.821,56.057,154.531,3.02
0.871,64.063,165.716,3.081
0.921,72.631,176.984,3.157
0.971,81.763,188.333,3.211
1.021,91.465,199.745,3.276
1.071,101.739,211.215,3.376
1.121,112.588,222.74,3.468
1.171,124.015,234.321,3.594
1.221,136.021,245.955,3.715
1.271,148.611,257.632,3.707
1.321,161.785,269.339,3.656
1.371,175.546,281.076,3.625
1.421,189.894,292.839,3.592
1.471,204.83,304.629,3.572
1.521,220.357,316.444,3.569
1.571,236.475,328.272,3.576
1.621,253.185,340.112,3.593
1.671,270.486,351.962,3.612
1.721,288.381,363.825,3.651
1.771,306.869,375.7,3.719
1.821,325.951,387.585,3.8
1.871,345.628,399.473,3.879
1.921,365.899,411.365,3.972
1.971,386.764,423.26,3.975
2.021,408.225,435.154,3.93
2.071,430.28,447.046,3.906
2.121,452.929,458.928,3.912
2.171,476.172,470.797,3.915
2.221,500.009,482.652,3.935
2.271,524.437,494.491,3.988
2.321,549.457,506.311,4.052
2.371,575.068,518.103,4.135
2.421,601.267,529.86,4.205
2.471,628.053,541.579,4.166
2.521,655.424,553.257,4.141
2.571,683.378,564.897,4.15
2.621,711.913,576.489,4.171
2.671,741.025,588.007,4.213
2.721,770.711,599.449,4.279
2.771,800.968,610.818,4.358
2.821,831.792,622.113,4.359
2.871,863.178,633.33,4.334
2.921,895.121,644.406,4.341
2.971,927.614,655.312,4.38
3.021,960.648,666.044,4.438
3.071,994.215,676.6,4.504
3.121,1028.304,686.978,4.521
3.171,1062.908,697.17,4.496
3.221,1098.017,707.163,4.505
3.271,1133.62,716.964,4.551
3.321,1169.708,726.574,4.62
3.371,1206.273,735.996,4.65
3.421,1243.304,745.229,4.646
3.471,1280.792,754.286,4.656
3.521,1318.728,763.172,4.687
3.571,1357.105,771.883,4.746
3.621,1395.912,780.415,4.779
3.671,1435.142,788.769,4.783
3.721,1474.785,796.929,4.8
3.771,1514.83,804.869,4.836
3.821,1555.266,812.59,4.877
3.871,1596.084,820.094,4.904
3.921,1637.271,827.379,4.913
3.971,1678.816,834.444,4.928
4.021,1720.709,841.274,4.953
4.071,1762.938,847.864,4.988
4.121,1805.49,854.214,5.002
4.171,1848.354,860.325,5.019
4.221,1891.517,866.199,5.042
4.271,1934.968,871.839,5.062
4.321,1978.695,877.247,5.086
4.371,2022.687,882.425,5.112
4.421,2066.932,887.374,5.115
4.471,2111.419,892.096,5.124
4.521,2156.136,896.594,5.152
4.571,2201.074,900.896,5.179
4.621,2246.221,905.008,5.183
4.671,2291.57,908.932,5.203
4.721,2337.11,912.673,5.228
4.771,2382.833,916.231,5.248
4.821,2428.729,919.617,5.263
4.871,2474.791,922.841,5.271
4.921,2521.009,925.904,5.287
4.971,2567.377,928.805,5.302
5.021,2613.886,931.545,5.319
5.071,2660.528,934.118,5.332
5.121,2707.293,936.501,5.342
5.171,2754.173,938.694,5.358
5.221,2801.158,940.698,5.372
5.271,2848.238,942.515,5.386
5.321,2895.405,944.144,5.387
5.371,2942.645,945.451,5.398
5.421,2989.94,946.359,5.415
5.471,3037.271,946.869,5.409
5.521,3084.617,946.988,5.426
5.571,3131.96,946.723,5.44
5.621,3179.28,946.098,5.442
5.671,3226.562,945.182,5.445
5.721,3273.791,943.98,5.453
5.771,3320.953,942.492,5.46
5.821,3368.033,940.72,5.455
5.871,3415.018,938.664,5.462
5.921,3461.891,936.272,5.463
5.971,3508.636,933.524,5.457
6.021,3555.234,930.42,5.463
6.071,3601.669,926.961,5.461
6.121,3647.921,923.15,5.455
6.171,3693.976,919.068,5.456
6.221,3739.825,914.87,5.458
6.271,3785.46,910.561,5.456
6.321,3830.878,906.141,5.45
6.371,3876.071,901.611,5.44
6.421,3921.036,896.979,5.433
6.471,3965.768,892.319,5.433
6.521,4010.267,887.653,5.427
6.571,4054.533,882.979,5.413
6.621,4098.565,878.3,5.413
6.671,4142.363,873.617,5.421
6.721,4185.926,868.945,5.399
6.771,4229.258,864.308,5.39
6.821,4272.358,859.702,5.399
6.871,4315.228,855.126,5.393
6.921,4357.871,850.579,5.384
# Event BURNOUT occurred at t=6.95 seconds
# Event EJECTION_CHARGE occurred at t=6.95 seconds
6.95,4382.287,847.978,5.384
6.993,4418.773,844.1,5.391
7.043,4460.866,839.64,5.386
7.093,4502.737,835.216,5.379
7.143,4544.388,830.828,5.371
7.193,4585.821,826.476,5.371
7.243,4627.036,822.159,5.366
7.293,4668.037,817.877,5.362
7.343,4708.825,813.629,5.362
7.393,4749.401,809.414,5.351
7.443,4789.767,805.233,5.351
7.493,4829.924,801.084,5.346
7.543,4869.875,796.966,5.345
7.593,4909.621,792.879,5.334
7.643,4949.164,788.822,5.337
7.693,4988.504,784.796,5.333
7.743,5027.644,780.801,5.322
7.793,5066.585,776.835,5.326
7.843,5105.328,772.897,5.316
7.893,5143.875,768.986,5.311
7.943,5182.227,765.103,5.312
